LMaxI;LMaxT;LAvgI;LAvgT;BMaxI;BMaxT;BAvgI;BAvgT
131072,00;0,00304235;65536,50;0,00000122;35,00;0,00024273;31,00;0,00000023
262144,00;0,00220095;131072,50;0,00000139;37,00;0,00000173;33,00;0,00000023
393216,00;0,00225055;196608,50;0,00000128;37,00;0,00000174;34,33;0,00000025
524288,00;0,00285914;262144,50;0,00000113;39,00;0,00000110;35,00;0,00000026
655360,00;0,00351973;327680,50;0,00000127;39,00;0,00000136;35,80;0,00000027
786432,00;0,00436373;393216,50;0,00000124;39,00;0,00000169;36,33;0,00000024
917504,00;0,00534851;458752,50;0,00000117;39,00;0,00000254;36,71;0,00000030
1048576,00;0,00555098;524288,50;0,00000123;41,00;0,00000240;37,00;0,00000026
1179648,00;0,00617377;589824,50;0,00000118;41,00;0,00000089;37,44;0,00000026
1310720,00;0,00671911;655360,50;0,00000117;41,00;0,00000251;37,80;0,00000025
