Length ; Alg ; Random ; Ascending ; Descending ; Static ; VShape
50000;Insertion S;2.06169772;0.00036867;5.99843700;0.00035090;2.79246657
50000;Selection S;4.07478343;4.07437851;4.56180714;4.26489585;4.21278756
50000;Heap S;0.00739252;0.01001358;0.01011152;0.00114257;0.00000000
50000;Cocktail S;8.32367461;0.00019965;8.74173680;0.00021289;5.12705032
55000;Insertion S;2.29795335;0.00033285;6.78401345;0.00038579;3.37203119
55000;Selection S;4.91980561;4.89795148;5.53078377;4.91731498;5.10982673
55000;Heap S;0.00793689;0.01113565;0.01108293;0.00130136;0.00000000
55000;Cocktail S;9.94779717;0.00021197;10.57701471;0.00019915;6.49701677
60000;Insertion S;2.86721024;0.00036350;8.36005304;0.00054694;4.39021912
60000;Selection S;6.02136815;5.79266667;6.53484284;5.80781415;6.02942620
60000;Heap S;0.00826099;0.01380193;0.01280605;0.00150324;0.00000000
60000;Cocktail S;11.88510146;0.00023559;12.51806514;0.00021860;7.35255285
65000;Insertion S;3.31846662;0.00039404;9.41634326;0.00045200;4.69737654
65000;Selection S;6.83939208;6.83724841;7.69262383;6.82898363;7.07957509
65000;Heap S;0.00915586;0.01324981;0.01335885;0.00157244;0.00000000
65000;Cocktail S;13.87738225;0.00023525;14.68734084;0.00026831;8.65586932
70000;Insertion S;3.79988791;0.00042597;10.94049495;0.00045185;5.44446239
70000;Selection S;7.91509907;7.90790585;8.91363445;7.90663661;8.21950138
70000;Heap S;0.01334275;0.01462782;0.01471773;0.00165624;0.00000000
70000;Cocktail S;16.17601221;0.00025443;17.05905534;0.00028985;10.00483354
75000;Insertion S;4.35522850;0.00051039;12.54261923;0.00051694;6.26200803
75000;Selection S;9.11209653;9.09790354;10.24566419;9.08824427;9.42306910
75000;Heap S;0.01069309;0.01574581;0.01560032;0.00246381;0.00000000
75000;Cocktail S;18.55573431;0.00027147;19.56751360;0.00027117;11.48442516
80000;Insertion S;4.90773897;0.00048399;14.24559263;0.00048389;7.15816023
80000;Selection S;10.34919838;10.33404209;11.63522927;10.30724770;10.74078282
80000;Heap S;0.01141141;0.01650516;0.01654330;0.00195550;0.00000000
80000;Cocktail S;21.01525861;0.00028933;23.89665852;0.00028977;13.10894850
85000;Insertion S;5.52683359;0.00053109;16.07690575;0.00051459;8.03624375
85000;Selection S;11.68994016;11.65400725;13.16671547;11.67325160;12.13469433
85000;Heap S;0.01223785;0.01789724;0.01752661;0.00216381;0.00000000
85000;Cocktail S;23.54508589;0.00030687;25.38727072;0.00030723;14.75429998
90000;Insertion S;6.16770405;0.00059923;18.06399065;0.00057240;8.99825747
90000;Selection S;13.09519099;13.08845830;14.74917406;13.09383021;13.61198197
90000;Heap S;0.01315880;0.01874284;0.01880995;0.00212626;0.00000000
90000;Cocktail S;26.42982185;0.00032502;28.40048287;0.00032501;16.57772760
95000;Insertion S;7.79313127;0.00060336;20.14715407;0.00057557;10.09567767
95000;Selection S;14.60754940;14.62088207;16.41833849;14.67170193;15.14735617
95000;Heap S;0.01405799;0.01982330;0.01995148;0.00221080;0.00000000
95000;Cocktail S;29.44848583;0.00034369;31.41727488;0.00034521;18.48034776
100000;Insertion S;7.60128246;0.00061326;22.40853687;0.00063166;11.13390853
100000;Selection S;16.19145927;16.15336516;18.23161162;16.15189652;16.77993867
100000;Heap S;0.01497297;0.02083346;0.02100643;0.00233018;0.00000000
100000;Cocktail S;32.83208125;0.00036510;34.88011537;0.00041633;20.57125080
105000;Insertion S;8.29597581;0.00067133;24.58698939;0.00069913;12.26268587
105000;Selection S;17.84575714;17.83077283;20.07837433;17.85090237;18.46349083
105000;Heap S;0.01542760;0.02525763;0.02204243;0.00264472;0.00000000
105000;Cocktail S;35.97812647;0.00038229;38.44811576;0.00037930;22.54990105
110000;Insertion S;9.17952287;0.00071943;26.97041312;0.00074701;13.46637426
110000;Selection S;19.64068090;19.53598645;22.00732254;19.52010815;20.27218107
110000;Heap S;0.01591720;0.02283851;0.02316604;0.00271830;0.00000000
110000;Cocktail S;39.45495826;0.00039875;42.14217619;0.00041257;24.77619209
115000;Insertion S;9.97302158;0.00073444;29.53179539;0.00074901;14.71046264
115000;Selection S;21.39390147;21.33553459;24.15142660;21.35851357;22.13825200
115000;Heap S;0.01699630;0.02409992;0.02482732;0.00297958;0.00000000
115000;Cocktail S;43.11082578;0.00041612;45.97625482;0.00041551;26.99285039
120000;Insertion S;10.83374967;0.00076149;32.08221358;0.00081811;15.99103628
120000;Selection S;23.32297333;23.27670383;26.27500923;23.30453408;24.14626597
120000;Heap S;0.01731264;0.02757690;0.02592947;0.00291326;0.00000000
120000;Cocktail S;47.04132525;0.00046309;50.07617264;0.00043308;29.43473278
125000;Insertion S;12.27948556;0.00087910;35.85850980;0.00120440;17.67013224
125000;Selection S;25.32331958;25.31449483;28.48270956;25.26015709;26.19076560
125000;Heap S;0.01817022;0.02611520;0.02654307;0.00293567;0.00000000
125000;Cocktail S;51.21145923;0.00049745;54.48495275;0.00045265;32.01486020
130000;Insertion S;12.74875350;0.00079352;37.72062730;0.00106704;18.84744507
130000;Selection S;27.48471532;27.35456320;30.81091107;27.32752846;28.36992151
130000;Heap S;0.01882382;0.02803382;0.02916805;0.00300626;0.00000000
130000;Cocktail S;55.14729446;0.00047489;58.87216976;0.00047218;34.60954326
135000;Insertion S;13.68139399;0.00084008;40.83008902;0.00089836;20.27942353
135000;Selection S;29.55796064;29.58153920;33.23593095;29.48178707;30.63173465
135000;Heap S;0.01988807;0.02852765;0.03123906;0.00329532;0.00000000
135000;Cocktail S;59.64343742;0.00048849;63.66473411;0.00048833;37.28939820
140000;Insertion S;14.84109413;0.00102260;43.79328921;0.00098212;21.80449219
140000;Selection S;31.69942986;31.71634695;35.73507167;31.69894634;32.95298298
140000;Heap S;0.02068768;0.03003180;0.03027421;0.00385922;0.00000000
140000;Cocktail S;64.10102675;0.00050528;68.34238610;0.00050651;40.09157992
145000;Insertion S;15.82076773;0.00092295;47.04854142;0.00089665;23.38228714
145000;Selection S;34.12395489;34.05088757;38.32764978;33.98765626;35.31085096
145000;Heap S;0.02129566;0.03072096;0.03109174;0.00343587;0.00000000
145000;Cocktail S;68.64554689;0.00073786;73.36047665;0.00052993;43.14878248
150000;Insertion S;16.73683414;0.00090913;50.24844247;0.00094268;24.99654835
150000;Selection S;36.35167159;36.34825364;40.91964346;36.35604282;37.75822746
150000;Heap S;0.02192766;0.03203145;0.03216059;0.00351520;0.00000000
150000;Cocktail S;73.36187815;0.00056781;78.34270051;0.00054300;45.99211192
