Length ; Quicksort Recurrent ; Quicksort Iterative
45000;0.00656678;0.02371153
50000;0.00508324;0.00552467
55000;0.00470618;0.00815338
60000;0.00535852;0.00820104
65000;0.00656285;0.00767792
70000;0.00674617;0.00707314
75000;0.00719671;0.00759309
80000;0.00719461;0.00809377
85000;0.00807620;0.00899954
90000;0.00888672;0.00963791
95000;0.00949361;0.00953700
100000;0.00890778;0.00992502
105000;0.01442286;0.01106928
110000;0.01139828;0.01116446
115000;0.01033449;0.01158901
120000;0.01084351;0.01194077
125000;0.01115955;0.01277696
130000;0.01182681;0.01303195
135000;0.01252131;0.01381602
140000;0.01326346;0.01456834
145000;0.01442233;0.01604539
150000;0.01539057;0.01584033
155000;0.01603164;0.01988802
160000;0.01742449;0.01821870
165000;0.01691734;0.01939731
170000;0.01797762;0.01919358
175000;0.01835844;0.02016496
180000;0.01964192;0.02149099
185000;0.02067115;0.02217439
190000;0.02025383;0.02202285
195000;0.02068467;0.02200806
200000;0.02018304;0.02272481
